http://lg.ix.net.ua
BGP router identifier 195.35.65.1, local AS number 15645
BGP table version is 93442649, main routing table version 93442649
75890 network entries using 18820720 bytes of memory
114962 path entries using 13795440 bytes of memory
46930/19800 BGP path/bestpath attribute entries using 11263200 bytes of memory
18064 BGP AS-PATH entries using 917296 bytes of memory
2 BGP ATTR_SET entries using 80 bytes of memory
1626 BGP community entries using 90054 bytes of memory
23 BGP extended community entries using 800 bytes of memory
101 BGP route-map cache entries using 6464 bytes of memory
0 BGP filter-list cache entries using 0 bytes of memory
BGP using 44893974 total bytes of memory
16408 received paths for inbound soft reconfiguration
BGP activity 10174181/10098025 prefixes, 60516035/60400689 paths, scan interval 60 secs

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
185.1.50.209    4        39928  311183 1672952 93442649    0    0 4w3d            3
185.1.50.210    4        21488       0       0        1    0    0 never    Active
185.1.50.211    4        48229  454625 10130018 93442649    0    0 37w5d           5
185.1.50.212    4        34265   78847 2332386 93442649    0    0 6w6d           11
185.1.50.214    4         3255 2506696 9402008 93442649    0    0 31w1d        1175
185.1.50.215    4        35297  187283 2851750 93442649    0    0 7w6d          346
185.1.50.216    4        48229       0       0        1    0    0 never    Active
185.1.50.217    4        52180    9337  213621 93442649    0    0 6d09h           7
185.1.50.218    4        34867  193139 2600484 93442649    0    0 7w2d           64
185.1.50.219    4         6702   19156  523276 93442649    0    0 1w4d           29
185.1.50.220    4        41710   36555  554988 93442649    0    0 1w4d            2
185.1.50.221    4        25229  162211 2245136 93442649    0    0 6w5d          304
185.1.50.222    4         8856       0       0        1    0    0 1y6w     Active
185.1.50.223    4         8788  155537 2289102 93442649    0    0 6w5d           21
185.1.50.224    4        25386  486663 6388308 93442649    0    0 20w5d          29
185.1.50.225    4        21219  586347 2279910 93442649    0    0 6w5d          706
185.1.50.226    4        44600   68946  931325 93442649    0    0 2w4d           69
185.1.50.227    4         6849  632654 2280000 93442649    0    0 6w5d           82
185.1.50.228    4        12963    7791   95589 93442649    0    0 3d04h          99
185.1.50.229    4        31148   69343  480122 93442649    0    0 1w3d          627
185.1.50.230    4        28907  159755 2311630 93442649    0    0 6w5d           31
185.1.50.232    4         3261       0       0        1    0    0 1y2w     Active
185.1.50.234    4         3326   62546  100241 93442649    0    0 3d00h        1961
185.1.50.235    4        50130       0       0        1    0    0 never    Idle
185.1.50.237    4        29632 5397984 79288789 93442649    0    0 1y20w         283
185.1.50.238    4        34251  372835 9494302 93442649    0    0 34w2d          58
185.1.50.242    4        24962       0       0        1    0    0 never    Active
185.1.50.243    4        43139   91782 2151815 93442649    0    0 6w5d           32
185.1.50.246    4         8674  198661 5595929 93442649    0    0 19w2d           5
185.1.50.248    4        30128       0       0        1    0    0 26w3d    Active
185.1.50.249    4         8674  198661 5595922 93442649    0    0 19w2d           5
185.1.50.250    4        30128       0       0        1    0    0 26w3d    Active
185.1.50.253    4        15645       0       0        1    0    0 never    Active
185.1.51.1      4        48650       0       0        1    0    0 6w0d     Active
185.1.51.2      4        25386  107458 1601102 93442649    0    0 4w4d           29
185.1.51.3      4         8856   72269 1072736 93442649    0    0 3w1d            7
185.1.51.4      4        43332  591975 2462630 93442649    0    0 7w2d            3
185.1.51.5      4        60777   21067  561917 93442649    0    0 1w5d            3
185.1.51.6      4        35562   66135 2177618 93442649    0    0 6w3d            4
185.1.51.7      4        59636  294844 7729258 93442649    0    0 26w3d           1
185.1.51.8      4        28907   76076 1011611 93442649    0    0 3w1d           31
185.1.51.10     4        25526   83021 2374160 93442649    0    0 7w2d            3
185.1.51.11     4        34743  162329 4256850 93442649    0    0 13w6d           6
185.1.51.12     4        35004   18817  213201 93442649    0    0 5d18h           9
185.1.51.13     4        58309  100319 1536033 93442649    0    0 4w4d            0
185.1.51.14     4        42512   86309 2364888 93442649    0    0 7w2d            5
185.1.51.15     4        49038   41563 1300157 93442649    0    0 4w0d            1
