http://lg.hlkomm.net/
BGP router identifier 85.232.0.1, local AS number 16097
BGP table version is 3012008098, main routing table version 3012008098
719812 network entries using 178513376 bytes of memory
1973840 path entries using 236860800 bytes of memory
220338/134212 BGP path/bestpath attribute entries using 54643824 bytes of memory
134354 BGP AS-PATH entries using 6069770 bytes of memory
2 BGP ATTR_SET entries using 80 bytes of memory
22267 BGP community entries using 1905300 bytes of memory
859 BGP extended community entries using 34826 bytes of memory
59 BGP route-map cache entries using 3776 bytes of memory
1069 BGP filter-list cache entries using 34208 bytes of memory
BGP using 478065880 total bytes of memory
BGP activity 24212796/23417328 prefixes, 857597166/855513078 paths, scan interval 60 secs

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
109.104.63.242  4        16097   38151 679394948 3012008249    0    0 3w2d           15
109.104.63.243  4        16097  218137 1101043455 3012008249    0    0 14w5d           5
109.104.63.244  4        16097  924267 1113160925 3012008249    0    0 1y16w           4
109.104.63.245  4        16097  767570 1113146873 3012008249    0    0 1y16w           5
109.104.63.246  4        16097  218373 1101803453 3012008249    0    0 19w4d           2
109.104.63.247  4        16097  768269 1113146991 3012008249    0    0 1y16w           3
109.104.63.248  4        16097   55753 1167652192 3012008249    0    0 5w3d           21
109.104.63.249  4        16097 280859046 1100690542 3012008249    0    0 1y9w       534266
109.104.63.250  4        16097  400755 1104139666 3012008249    0    0 35w4d           3
109.104.63.251  4        16097  767556 1113146965 3012008249    0    0 1y16w           4
109.104.63.252  4        16097  198601 1101835317 3012008249    0    0 19w5d           3
109.104.63.255  4        16097 231351046 1099215847 3012008249    0    0 1y5w       648822
http://lg.hlkomm.net/
BGP router identifier 85.232.0.1, local AS number 16097
BGP table version is 3013276706, main routing table version 3013276706
719877 network entries using 178529496 bytes of memory
1973908 path entries using 236868960 bytes of memory
220088/134211 BGP path/bestpath attribute entries using 54581824 bytes of memory
134152 BGP AS-PATH entries using 6061806 bytes of memory
2 BGP ATTR_SET entries using 80 bytes of memory
22122 BGP community entries using 1896602 bytes of memory
860 BGP extended community entries using 34850 bytes of memory
55 BGP route-map cache entries using 3520 bytes of memory
532 BGP filter-list cache entries using 17024 bytes of memory
BGP using 477994082 total bytes of memory
BGP activity 24213554/23418029 prefixes, 857619312/855535136 paths, scan interval 60 secs

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
85.232.0.2      4        16097       0       0        1    0    0 24w4d    Idle
85.232.0.3      4        16097   61351 1168344847 3013276921    0    0 5w3d            4
85.232.0.7      4        16097  221378 1102482483 3013276943    0    0 19w4d          70
85.232.0.10     4        16097  220330 1102494263 3013276943    0    0 19w5d          19
85.232.0.11     4        16097  215975 1102437090 3013276943    0    0 19w3d          14
85.232.0.12     4        16097  236451 1102508788 3013276943    0    0 19w5d          33
85.232.0.13     4        16097  318206 1103766679 3013276943    0    0 28w4d          19
85.232.0.14     4        16097   56286 1168349969 3013276943    0    0 5w3d          162
85.232.0.15     4        16097   56145 1168349967 3013276943    0    0 5w3d          127
85.232.0.28     4        16097   61416 1168331225 3013276943    0    0 5w3d          107
85.232.0.29     4        16097   41759 793054180 3013276943    0    0 3w5d           75
85.232.0.30     4        16097   30804 556293181 3013276943    0    0 2w5d            2
85.232.0.31     4        16097  251495 1102821703 3013276943    0    0 22w4d           2
85.232.0.32     4        16097  152797 1101521001 3013276943    0    0 13w2d          20
85.232.0.33     4        16097  220484 1102471591 3013276943    0    0 19w4d           4
85.232.0.34     4        16097  175611 1101830875 3013276943    0    0 15w5d           2
85.232.0.35     4        16097   81019 1168331287 3013276943    0    0 5w3d            3
85.232.0.36     4        16097  132725 1101104483 3013276943    0    0 11w5d           5
85.232.0.37     4        16097  251467 1102821698 3013276943    0    0 22w4d           2
85.232.0.38     4        16097  218196 1102466644 3013276943    0    0 19w4d          42
85.232.0.40     4        16097   39171 717612112 3013276943    0    0 3w2d           13
85.232.0.41     4        16097   37633 680068528 3013276943    0    0 3w2d            2
85.232.0.42     4        16097  175563 1101830427 3013276943    0    0 15w5d           3
85.232.0.43     4        16097       0       0        1    0    0 never    Active
85.232.0.44     4        16097  759594 1113820596 3013276943    0    0 1y16w           3
85.232.0.47     4        16097  221933 1102492816 3013276943    0    0 19w5d           2
