#lg	asn	description
http://stats.sunet.se/looking-glass/lg.cgi  	 1653  	 SUNET  
http://stats.nerim.net/nav/lg/  	 13193  	 Nerim  
http://www.as42004.net/lg	42004	 VoIP Unlimited 
http://noc.briantel.com/lg	43843	 BrianTel Srl 
http://lg.as28929.net	 28929  	 ASDASD srl (Italy)  
http://lg.mainlab.net/	21501	 Mainlab GmbH 
http://lg.ipnetzone.com	20077	 IPNetZone Communications 
http://lg.dts-online.net/cgi-bin/lg.cgi	8879	 DTS Systeme GmbH 
http://lg.reacciun.ve/	20312	 REACCIUN  
http://noc.ivi.ru/lg	57629	ivi.ru
http://lg.gtc.su	30733	GLOBUS-TELECOM
http://looking-glass.internode.on.net	4739	iiNet/Internode
http://lg.webex.com	13445	 WebEx Communications 
https://www.inex.ie/lg/	2128	INEX
http://lg.hlkomm.net/	16097	 HL komm 
http://www.eunetip.net/look.shtml  	 6667  	 EUnet  
http://lg.pipenetworks.com	9722	 PIPE Networks 
http://www.pipenetworks.com/lg	24130	 PIPE Networks 
https://supernoc.rogerstelecom.net/cgi/lg.cgi	 812  	 Rogers Telecom  
http://lg.romnet.org  	 31554  	 RomNet altFEL  
http://lg.he.net	 6939  	 Hurricane Electric  
http://lg.simbanet.co.tz	37084	 SimbaNET Tanzania 
http://nms1.prago.net/public-cgi-bin/lg/lg.cgi 	21142	PragoNet
http://debby.sunrise.ch/lg	6730	SunriseCommunicationsAG
http://www.six.sk/lg.html  	2607	 SIX - Slovak Internet eXchange  
http://lg.version6.net	3327	Linxtelecom
http://noc.ucomline.net/  	 12883  	 Ucomline  
http://bgp.stech.net.br/lg	25933	 SouthTech Telecom 
http://www.as50763.net/lg/	50763	 MCKAYCOM LTD 
http://lg.ntrnet.it/lg	47358	 NTRNET srl 
http://lg.mironet.ch/lg	49983	 MiroNet GmbH 
http://www.ccn.net/lg	29488	 ccn corporate communication networks GmbH 
https://lg.uli.it	9026	 Utility Line Italia 
http://as-ielo.net/lg	29075	IELO
http://lg.riss.ro/cgi-bin/lg.cgi 	34043	  SC Advanced Business Solution International SRL 
http://lg.gldn.net	3216	GoldenTelecomIPNetwork
http://lg.corbina.net	8402	 Corbina Telecom 
http://lg.peterstar.net/lg	20632	 netepctap peterstar 
http://lg.eastlink.ca	11260	Eastlink
https://hub.interoute.com/lookingglass.aspx	8928	Interoute
http://lg.pch.net/cgi-bin/lgform.cgi	 3856  	 PCH (peering only routes from many exchange points)  
