https://rs4.swissix.ch/cgi-bin/bgplg?req=&cmd=show+ip+bgp+summary&
{'req': '', 'cmd': 'show ip bgp summary'}

Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
2001:7f8:24::d1         29545      73718     401199     0 01w1d13h      1/600
2001:7f8:24::7f         20612      69674     402131     0 01w1d13h      2/600
2001:7f8:24::ca          2686      70959     402090     0 01w1d13h      9/600
91.206.52.134          203340      71112     378807     0 01w1d13h      1/12000
2001:7f8:24::2           8758      71623     402341     0 01w1d13h     18/600
91.206.52.254           25152      73657     391616     0 01w1d13h      1/12000
91.206.52.184           20984      69666     378806     0 01w1d13h      2/12000
2001:7f8:24::d3         61287      71547     402100     0 01w1d13h      4/600
2001:7f8:24::fe         25152      73706     401768     0 01w1d13h      1/600
2001:7f8:24::ac          8220      64622     398853     0 01w1d13h     80/600
2001:7f8:24::83         25581      75261     402505     0 01w1d13h      1/600
2001:7f8:24::8d         59891      73444     401763     0 01w1d13h     19/600
2001:7f8:24::7e         20612      69691     402156     0 01w1d13h      2/600
2001:7f8:24::36         34554      83970     402090     0 01w1d13h      1/600
2001:7f8:24::6c        197964      75565     402215     0 01w1d13h      2/600
2001:7f8:24::bb        197439      69676     402144     0 01w1d13h      1/600
2001:7f8:24::1c         29655     100048     402087     0 01w1d13h      6/600
2001:7f8:24::ab          3303      71022     402515     0 01w1d13h     48/600
2001:7f8:24::86        203340      71114     402120     0 01w1d13h      1/600
2001:7f8:24::5e          1836      70581     402130     0 01w1d13h      0/600
91.206.52.164           49237       6742    8043839     0 23:30:45      1/12000
91.206.52.46            33845      69627     392136     0 02w0d19h      5/12000
91.206.52.194           51768      64481     392146     0 02w0d19h      1/12000
91.206.52.48            34578      69570     404500     0 01w6d07h      2/12000
2001:7f8:24::30         34578      69569     436375     0 01w6d07h      1/600
2001:7f8:24::2e         33845      69667     425309     0 02w0d19h      1/600
91.206.52.52           206492     321976    1018877     0 05w0d11h      2/12000
2001:7f8:24::34        206492     322569    1415861     0 05w0d11h      1/600
2001:7f8:24::d5         29691     171489    1358504     0 05w0d17h     24/600
91.206.52.213           29691     171334     908252     0 05w0d17h     42/12000
91.206.52.215           44444     170757     927144     0 02w6d21h      1/12000
91.206.52.42            57581     154886     914500     0 05w0d22h      2/12000
2001:7f8:24::5a         59414     155324    1379853     0 05w0d18h      5/600
91.206.52.90            59414     155324     927073     0 05w0d18h     12/12000
2001:7f8:24::94         57118     155391    1413909     0 01w5d07h      4/600
91.206.52.148           57118     155385     964995     0 01w5d07h      4/12000
91.206.52.183           29668     155291     914518     0 05w0d22h      3/12000
2001:7f8:24::d7         44444     170758    1379863     0 02w6d21h      1/600
91.206.52.68            12307     155202    1003168     0 5d05h03m      2/12000
91.206.52.186           29222     167724     939473     0 02w0d22h     10/12000
2001:7f8:24::75         25091     167973    1368458     0 05w0d22h     29/600
91.206.52.117           25091     168663     914246     0 05w0d22h    113/12000
91.206.52.169          200759    1035146    1750687     0 03w4d06h      4/12000
